OBJECTID,ZONE_CMPLT,ZONE_CLASS,ZONE_SMRY,SHAPE_Length,SHAPE_Area
51421,C4-2D-SN,C4,COMMERCIAL,0.00472397134389606,1.3152893043239e-06
51422,[Q]RD1.5-1,RD1.5,RESIDENTIAL,0.0026914668227627,3.52717915220266e-07
51423,RA-1,RA,AGRICULTURE,0.00290053447431083,4.54070356776364e-07
51424,RA-1,RA,AGRICULTURE,0.00597189996278838,1.04449323868932e-06
51425,(T)R1-1,R1,RESIDENTIAL,0.0023780363116627,1.95289024202351e-07
51426,RA-1,RA,AGRICULTURE,0.00786140593699538,3.09217859162462e-06
51427,[Q]C2-2D,C2,COMMERCIAL,0.00406343758012591,9.40231060402347e-07
51428,C1.5-2D-O,C1.5,COMMERCIAL,0.00621875478252708,2.18056848418625e-06
51429,(T)C2-2D-O,C2,COMMERCIAL,0.00896852218485253,5.00367585047504e-06
51430,RA-1,RA,AGRICULTURE,0.00215408441018462,2.933372754759e-07
51431,(T)R1-1,R1,RESIDENTIAL,0.00251384883233624,2.50413219442223e-07
51432,R1-1,R1,RESIDENTIAL,0.0107090084212486,2.93852747688944e-06
51433,R3-1-RIO,R3,RESIDENTIAL,0.00563503411170326,1.17218728502304e-06
51434,R3-1,R3,RESIDENTIAL,0.00692528550803093,1.09607127304258e-06
51435,(T)(Q)R3-2D,R3,RESIDENTIAL,0.00133313729213017,7.27027767267335e-08
51436,[Q]R1-1-CDO,R1,RESIDENTIAL,0.00107484047365127,6.42236524924376e-08
51437,R1-1,R1,RESIDENTIAL,0.0121984390443301,2.44822077345239e-06
51438,[Q]OS-1XL-CDO,OS,OPEN SPACE,0.00221524097524716,9.89869219190375e-08
51439,OS-1XL,OS,OPEN SPACE,0.00663420081238288,3.18531564579389e-07
51440,R1P-1L,R1P,RESIDENTIAL,0.00268736055020528,3.3335959443341e-07
51441,[Q]P-1L-CDO,P,PARKING,0.00308083492113494,5.18421175517887e-07
51442,[Q]R1-1-CDO,R1,RESIDENTIAL,0.00190204312129736,2.21194735179346e-07
51443,R1-1,R1,RESIDENTIAL,0.0104105020400222,3.61042026008728e-06
51444,R3-1,R3,RESIDENTIAL,0.00296319498946478,5.51606575180639e-07
51445,(Q)RE9-1-K,RE9,RESIDENTIAL,0.00910959852873849,1.63448160261854e-06
51446,(Q)RS-1-K,RS,RESIDENTIAL,0.00918601089560384,1.59883388096458e-06
51447,RA-1-K,RA,AGRICULTURE,0.00532891633674507,1.53683334429454e-06
51448,RS-1-K,RS,RESIDENTIAL,0.00485275019621361,1.2156231054224e-06
51449,RA-1-K,RA,AGRICULTURE,0.00264274300821719,3.12676736443832e-07
51450,(T)(Q)C1.5-1,C1.5,COMMERCIAL,0.00935639869106772,2.25742684580871e-06
51451,A1-1XL,A1,AGRICULTURE,0.0102405958189034,4.08714287122662e-06
